"county","observation_count","locality_type","latitude","longitude","observation_date","time_observations_started","protocol_type","duration_minutes","effort_distance_km","number_observers","year","month","day","season","time_of_day"
"Albany",1,"H",42.6099952,-73.8907678,2023-04-15,"09:49:00","Traveling",93,3.701,3,2023,4,15,"Spring","Morning"
"Chemung",1,"P",42.0690348,-76.9346948,2023-04-15,"17:13:00","Traveling",30,0.805,2,2023,4,15,"Spring","Evening"
"Monroe",4,"H",43.3201355,-77.7264261,2023-04-15,"20:11:00","Traveling",31,1.236,3,2023,4,15,"Spring","Evening"
"Monroe",1,"H",43.1491253,-77.5175571,2023-04-16,"12:32:00","Traveling",50,1.609,2,2023,4,16,"Spring","Afternoon"
"Erie",2,"H",42.8462509,-78.8594553,2023-04-15,"11:32:00","Traveling",176,2.866,2,2023,4,15,"Spring","Morning"
"Monroe",5,"P",43.1372665,-77.5017557,2023-04-14,"18:43:00","Stationary",105,NA,2,2023,4,14,"Spring","Evening"
"Albany",2,"P",42.672683,-73.982492,2023-04-16,"20:02:00","Stationary",11,NA,2,2023,4,16,"Spring","Evening"
"Columbia",1,"P",42.2294831,-73.5996943,2023-04-16,"20:00:00","Stationary",26,NA,2,2023,4,16,"Spring","Evening"
"Ontario",1,"P",42.885049,-77.47374,2023-04-14,"20:05:00","Stationary",30,NA,4,2023,4,14,"Spring","Evening"
"Wayne",1,"H",43.3164355,-76.7575264,2023-04-18,"09:07:00","Traveling",67,3.605,3,2023,4,18,"Spring","Morning"
"Fulton",1,"P",43.0258535,-74.3533879,2023-04-18,"12:15:00","Stationary",15,NA,2,2023,4,18,"Spring","Afternoon"
"Ulster",5,"H",41.7452244,-74.1221529,2023-03-08,"18:17:00","Traveling",39,1.895,2,2023,3,8,"Spring","Evening"
"Suffolk",5,"H",40.9458512,-72.2865675,2023-02-23,"17:20:00","Traveling",61,0.909,3,2023,2,23,"Winter","Evening"
"Essex",3,"P",43.8153306,-73.4983635,2023-04-20,"20:27:00","Stationary",2,NA,2,2023,4,20,"Spring","Evening"
"Rensselaer",1,"P",42.8882911,-73.6494899,2023-04-04,"19:25:00","Stationary",7,NA,2,2023,4,4,"Spring","Evening"
"Monroe",2,"H",43.2444454,-77.4706893,2023-04-22,"08:40:00","Traveling",145,5.633,2,2023,4,22,"Spring","Morning"
"Erie",2,"H",42.9643762,-78.9500361,2023-04-22,"19:34:00","Traveling",72,6.371,2,2023,4,22,"Spring","Evening"
"Oswego",1,"H",43.4301625,-76.549509,2023-04-20,"18:10:00","Traveling",144,3.853,2,2023,4,20,"Spring","Evening"
"New York",2,"H",40.7536729,-73.9832322,2023-03-11,"16:18:00","Traveling",25,0.805,3,2023,3,11,"Spring","Afternoon"
"New York",1,"P",40.753541,-73.982646,2023-04-21,"18:10:00","Stationary",2,NA,1,2023,4,21,"Spring","Evening"
"Chautauqua",1,"H",42.4220913,-79.4281205,2023-04-22,"20:16:00","Traveling",3,0.092,3,2023,4,22,"Spring","Evening"
"Otsego",2,"P",42.8351511,-75.2066492,2023-04-25,"20:07:00","Stationary",15,NA,2,2023,4,25,"Spring","Evening"
"Tompkins",2,"H",42.5145581,-76.3527194,2023-04-26,"20:19:00","Stationary",8,NA,3,2023,4,26,"Spring","Evening"
"Tompkins",1,"H",42.5145581,-76.3527194,2023-04-26,"20:05:00","Traveling",10,0.306,3,2023,4,26,"Spring","Evening"
"Chautauqua",1,"P",42.440346,-79.276135,2023-04-26,"20:40:00","Stationary",8,NA,2,2023,4,26,"Spring","Evening"
"Chautauqua",2,"P",42.449193,-79.261856,2023-04-26,"20:45:00","Stationary",2,NA,2,2023,4,26,"Spring","Evening"
"Chautauqua",2,"P",42.430975,-79.283284,2023-04-26,"20:25:00","Traveling",6,2.295,2,2023,4,26,"Spring","Evening"
"Franklin",1,"P",44.384977,-74.192893,2023-04-27,"20:17:00","Stationary",12,NA,2,2023,4,27,"Spring","Evening"
"Otsego",1,"P",42.8367601,-75.0789517,2023-04-27,"20:42:00","Stationary",3,NA,2,2023,4,27,"Spring","Evening"
"Otsego",2,"P",42.8085886,-75.0483152,2023-04-27,"20:25:00","Traveling",9,0.29,2,2023,4,27,"Spring","Evening"
"Chemung",1,"P",42.2684747,-76.5388437,2023-04-28,"05:05:00","Stationary",55,NA,2,2023,4,28,"Spring","Morning"
"Greene",1,"H",42.2374562,-74.1213894,2023-04-22,"18:43:00","Traveling",53,1.207,2,2023,4,22,"Spring","Evening"
"Monroe",7,"H",43.3201355,-77.7264261,2023-04-21,"20:06:00","Traveling",43,1.26,2,2023,4,21,"Spring","Evening"
"Otsego",1,"P",42.582143,-74.927244,2023-04-28,"19:55:00","Traveling",20,0.182,2,2023,4,28,"Spring","Evening"
"Otsego",1,"P",42.560899,-74.921444,2023-04-28,"20:17:00","Traveling",59,7.057,2,2023,4,28,"Spring","Evening"
